interaction_id,drug1,drug2,interaction,severity
176,Losartan,Loratadine,minor stomach discomfort,Low
177,Insulin,Ibuprofen,moderate kidney stress,Medium
178,Loratadine,Salbutamol,minor stomach discomfort,Low
179,Clopidogrel,Sumatriptan,minor stomach discomfort,Low
180,Naproxen,Clopidogrel,temporary fatigue,Low
181,Cetirizine,Furosemide,temporary fatigue,Low
182,Ibuprofen,Salbutamol,mild dizziness,Low
183,Paracetamol,Ibuprofen,reduced drug effectiveness,Medium
184,Atorvastatin,Ibuprofen,increased blood pressure,Medium
185,Sumatriptan,Insulin,moderate kidney stress,Medium
186,Naproxen,Atorvastatin,minor stomach discomfort,Low
187,Amlodipine,Metformin,heart rhythm complications,High
188,Atorvastatin,Insulin,reduced drug effectiveness,Medium
189,Metformin,Ibuprofen,mild dizziness,Low
190,Losartan,Loratadine,mild dizziness,Low
191,Metformin,Insulin,moderate kidney stress,Medium
192,Lisinopril,Furosemide,increased blood pressure,Medium
193,Metformin,Ibuprofen,respiratory complications,High
194,Paracetamol,Salbutamol,severe bleeding risk,High
195,Losartan,Salbutamol,reduced drug effectiveness,Medium
196,Clopidogrel,Sumatriptan,moderate kidney stress,Medium
197,Lisinopril,Paracetamol,increased blood pressure,Medium
198,Lisinopril,Sumatriptan,reduced drug effectiveness,Medium
199,Clopidogrel,Atorvastatin,moderate kidney stress,Medium
200,Losartan,Loratadine,heart rhythm complications,High
201,Loratadine,Salbutamol,temporary fatigue,Low
202,Cetirizine,Loratadine,minor stomach discomfort,Low
203,Amlodipine,Naproxen,minor stomach discomfort,Low
204,Clopidogrel,Metformin,mild dizziness,Low
205,Metformin,Salbutamol,reduced drug effectiveness,Medium
206,Metformin,Atorvastatin,moderate kidney stress,Medium
207,Lisinopril,Insulin,moderate kidney stress,Medium
208,Budesonide,Salbutamol,temporary fatigue,Low
209,Loratadine,Budesonide,increased blood pressure,Medium
210,Losartan,Salbutamol,minor stomach discomfort,Low
211,Lisinopril,Sumatriptan,temporary fatigue,Low
212,Paracetamol,Atorvastatin,severe bleeding risk,High
213,Atorvastatin,Sumatriptan,minor stomach discomfort,Low
214,Amlodipine,Atorvastatin,minor stomach discomfort,Low
215,Budesonide,Salbutamol,mild dizziness,Low
216,Lisinopril,Insulin,minor stomach discomfort,Low
217,Cetirizine,Losartan,mild dizziness,Low
218,Losartan,Salbutamol,mild dizziness,Low
219,Loratadine,Ibuprofen,heart rhythm complications,High
220,Lisinopril,Cetirizine,heart rhythm complications,High
221,Amlodipine,Clopidogrel,moderate kidney stress,Medium
222,Sumatriptan,Salbutamol,reduced drug effectiveness,Medium
223,Amlodipine,Furosemide,reduced drug effectiveness,Medium
224,Lisinopril,Insulin,minor stomach discomfort,Low
225,Paracetamol,Furosemide,severe bleeding risk,High
226,Lisinopril,Atorvastatin,moderate kidney stress,Medium
227,Losartan,Atorvastatin,increased blood pressure,Medium
228,Losartan,Budesonide,minor stomach discomfort,Low
229,Losartan,Loratadine,moderate kidney stress,Medium
230,Cetirizine,Ibuprofen,increased blood pressure,Medium
231,Amlodipine,Insulin,reduced drug effectiveness,Medium
232,Clopidogrel,Insulin,mild dizziness,Low
233,Clopidogrel,Atorvastatin,minor stomach discomfort,Low
234,Atorvastatin,Budesonide,increased blood pressure,Medium
235,Naproxen,Furosemide,minor stomach discomfort,Low
236,Sumatriptan,Budesonide,temporary fatigue,Low
237,Cetirizine,Insulin,temporary fatigue,Low
238,Amlodipine,Loratadine,reduced drug effectiveness,Medium
239,Loratadine,Ibuprofen,reduced drug effectiveness,Medium
240,Losartan,Sumatriptan,reduced drug effectiveness,Medium
241,Amlodipine,Paracetamol,mild dizziness,Low
242,Lisinopril,Atorvastatin,increased blood pressure,Medium
243,Metformin,Furosemide,temporary fatigue,Low
244,Clopidogrel,Loratadine,increased blood pressure,Medium
245,Paracetamol,Losartan,respiratory complications,High
246,Furosemide,Losartan,temporary fatigue,Low
247,Naproxen,Salbutamol,heart rhythm complications,High
248,Lisinopril,Atorvastatin,temporary fatigue,Low
249,Lisinopril,Paracetamol,moderate kidney stress,Medium
250,Lisinopril,Sumatriptan,mild dizziness,Low
251,Atorvastatin,Loratadine,minor stomach discomfort,Low
252,Lisinopril,Budesonide,temporary fatigue,Low
253,Naproxen,Atorvastatin,heart rhythm complications,High
254,Paracetamol,Loratadine,mild dizziness,Low
255,Naproxen,Clopidogrel,minor stomach discomfort,Low
256,Amlodipine,Metformin,increased blood pressure,Medium
257,Insulin,Salbutamol,moderate kidney stress,Medium
258,Naproxen,Sumatriptan,moderate kidney stress,Medium
259,Metformin,Losartan,mild dizziness,Low
260,Amlodipine,Cetirizine,mild dizziness,Low
261,Amlodipine,Insulin,increased blood pressure,Medium
262,Amlodipine,Salbutamol,heart rhythm complications,High
263,Naproxen,Salbutamol,respiratory complications,High
264,Clopidogrel,Furosemide,temporary fatigue,Low
265,Atorvastatin,Ibuprofen,reduced drug effectiveness,Medium
266,Clopidogrel,Loratadine,reduced drug effectiveness,Medium
267,Lisinopril,Naproxen,temporary fatigue,Low
268,Naproxen,Losartan,respiratory complications,High
269,Furosemide,Salbutamol,minor stomach discomfort,Low
270,Losartan,Insulin,respiratory complications,High
271,Lisinopril,Insulin,temporary fatigue,Low
272,Lisinopril,Naproxen,severe bleeding risk,High
273,Lisinopril,Salbutamol,moderate kidney stress,Medium
274,Amlodipine,Budesonide,reduced drug effectiveness,Medium
275,Loratadine,Salbutamol,increased blood pressure,Medium
276,Lisinopril,Salbutamol,temporary fatigue,Low
277,Furosemide,Losartan,temporary fatigue,Low
278,Clopidogrel,Sumatriptan,moderate kidney stress,Medium
279,Metformin,Furosemide,reduced drug effectiveness,Medium
280,Losartan,Ibuprofen,heart rhythm complications,High
281,Clopidogrel,Metformin,mild dizziness,Low
282,Metformin,Salbutamol,increased blood pressure,Medium
283,Losartan,Insulin,heart rhythm complications,High
284,Paracetamol,Insulin,mild dizziness,Low
285,Lisinopril,Sumatriptan,temporary fatigue,Low
286,Amlodipine,Metformin,severe bleeding risk,High
287,Lisinopril,Furosemide,mild dizziness,Low
288,Metformin,Ibuprofen,reduced drug effectiveness,Medium
289,Lisinopril,Loratadine,moderate kidney stress,Medium
290,Naproxen,Budesonide,increased blood pressure,Medium
291,Clopidogrel,Atorvastatin,moderate kidney stress,Medium
292,Clopidogrel,Furosemide,minor stomach discomfort,Low
293,Paracetamol,Salbutamol,reduced drug effectiveness,Medium
294,Naproxen,Metformin,severe bleeding risk,High
295,Cetirizine,Paracetamol,minor stomach discomfort,Low
296,Losartan,Salbutamol,moderate kidney stress,Medium
297,Amlodipine,Budesonide,reduced drug effectiveness,Medium
298,Losartan,Ibuprofen,increased blood pressure,Medium
299,Atorvastatin,Loratadine,temporary fatigue,Low
300,Amlodipine,Clopidogrel,severe bleeding risk,High
301,Amlodipine,Budesonide,minor stomach discomfort,Low
302,Sumatriptan,Insulin,temporary fatigue,Low
303,Furosemide,Salbutamol,minor stomach discomfort,Low
304,Cetirizine,Budesonide,moderate kidney stress,Medium
305,Amlodipine,Loratadine,respiratory complications,High
306,Lisinopril,Sumatriptan,temporary fatigue,Low
307,Lisinopril,Loratadine,temporary fatigue,Low
308,Lisinopril,Salbutamol,increased blood pressure,Medium
309,Losartan,Sumatriptan,moderate kidney stress,Medium
310,Paracetamol,Losartan,moderate kidney stress,Medium
311,Loratadine,Insulin,increased blood pressure,Medium
312,Atorvastatin,Budesonide,moderate kidney stress,Medium
313,Cetirizine,Naproxen,moderate kidney stress,Medium
314,Lisinopril,Losartan,mild dizziness,Low
315,Furosemide,Loratadine,temporary fatigue,Low
316,Sumatriptan,Salbutamol,moderate kidney stress,Medium
317,Lisinopril,Paracetamol,moderate kidney stress,Medium
318,Clopidogrel,Metformin,heart rhythm complications,High
319,Amlodipine,Furosemide,heart rhythm complications,High
320,Cetirizine,Loratadine,temporary fatigue,Low
321,Naproxen,Salbutamol,heart rhythm complications,High
322,Cetirizine,Salbutamol,minor stomach discomfort,Low
323,Amlodipine,Lisinopril,temporary fatigue,Low
324,Metformin,Insulin,increased blood pressure,Medium
325,Budesonide,Salbutamol,moderate kidney stress,Medium
326,Amlodipine,Atorvastatin,minor stomach discomfort,Low
327,Lisinopril,Clopidogrel,mild dizziness,Low
328,Losartan,Ibuprofen,severe bleeding risk,High
329,Naproxen,Insulin,moderate kidney stress,Medium
330,Naproxen,Salbutamol,mild dizziness,Low
331,Cetirizine,Metformin,severe bleeding risk,High
332,Lisinopril,Salbutamol,heart rhythm complications,High
333,Lisinopril,Clopidogrel,severe bleeding risk,High
334,Losartan,Atorvastatin,moderate kidney stress,Medium
335,Lisinopril,Paracetamol,mild dizziness,Low
336,Furosemide,Sumatriptan,minor stomach discomfort,Low
337,Amlodipine,Cetirizine,moderate kidney stress,Medium
338,Cetirizine,Budesonide,moderate kidney stress,Medium
339,Paracetamol,Losartan,moderate kidney stress,Medium
340,Clopidogrel,Furosemide,mild dizziness,Low
341,Metformin,Sumatriptan,reduced drug effectiveness,Medium
342,Lisinopril,Paracetamol,temporary fatigue,Low
343,Naproxen,Metformin,severe bleeding risk,High
344,Naproxen,Sumatriptan,heart rhythm complications,High
345,Amlodipine,Salbutamol,reduced drug effectiveness,Medium
346,Metformin,Salbutamol,temporary fatigue,Low
347,Furosemide,Insulin,heart rhythm complications,High
348,Losartan,Ibuprofen,temporary fatigue,Low
349,Amlodipine,Ibuprofen,temporary fatigue,Low
350,Paracetamol,Atorvastatin,heart rhythm complications,High
351,Cetirizine,Clopidogrel,respiratory complications,High
352,Clopidogrel,Ibuprofen,heart rhythm complications,High
353,Naproxen,Salbutamol,mild dizziness,Low
354,Loratadine,Insulin,moderate kidney stress,Medium
355,Losartan,Sumatriptan,minor stomach discomfort,Low
356,Paracetamol,Budesonide,reduced drug effectiveness,Medium
357,Furosemide,Atorvastatin,heart rhythm complications,High
358,Amlodipine,Loratadine,temporary fatigue,Low
359,Atorvastatin,Ibuprofen,moderate kidney stress,Medium
360,Clopidogrel,Ibuprofen,minor stomach discomfort,Low
361,Furosemide,Atorvastatin,temporary fatigue,Low
362,Clopidogrel,Budesonide,moderate kidney stress,Medium
363,Naproxen,Sumatriptan,moderate kidney stress,Medium
364,Naproxen,Sumatriptan,mild dizziness,Low
365,Paracetamol,Furosemide,respiratory complications,High
366,Amlodipine,Budesonide,increased blood pressure,Medium
367,Losartan,Ibuprofen,temporary fatigue,Low
368,Furosemide,Sumatriptan,moderate kidney stress,Medium
369,Naproxen,Salbutamol,respiratory complications,High
370,Losartan,Insulin,temporary fatigue,Low
371,Atorvastatin,Loratadine,reduced drug effectiveness,Medium
372,Metformin,Ibuprofen,severe bleeding risk,High
373,Naproxen,Budesonide,respiratory complications,High
374,Losartan,Insulin,moderate kidney stress,Medium
375,Insulin,Salbutamol,temporary fatigue,Low
376,Lisinopril,Sumatriptan,minor stomach discomfort,Low
377,Amlodipine,Budesonide,minor stomach discomfort,Low
378,Atorvastatin,Budesonide,minor stomach discomfort,Low
379,Sumatriptan,Ibuprofen,heart rhythm complications,High
380,Atorvastatin,Salbutamol,reduced drug effectiveness,Medium
381,Cetirizine,Metformin,mild dizziness,Low
382,Cetirizine,Salbutamol,moderate kidney stress,Medium
383,Cetirizine,Furosemide,increased blood pressure,Medium
384,Lisinopril,Budesonide,moderate kidney stress,Medium
385,Paracetamol,Ibuprofen,minor stomach discomfort,Low
386,Losartan,Budesonide,mild dizziness,Low
387,Sumatriptan,Ibuprofen,increased blood pressure,Medium
388,Naproxen,Clopidogrel,temporary fatigue,Low
389,Losartan,Loratadine,severe bleeding risk,High
390,Cetirizine,Ibuprofen,severe bleeding risk,High
391,Budesonide,Ibuprofen,moderate kidney stress,Medium
392,Naproxen,Budesonide,minor stomach discomfort,Low
393,Paracetamol,Budesonide,minor stomach discomfort,Low
394,Lisinopril,Insulin,temporary fatigue,Low
395,Clopidogrel,Budesonide,minor stomach discomfort,Low
396,Insulin,Budesonide,mild dizziness,Low
397,Lisinopril,Losartan,mild dizziness,Low
398,Lisinopril,Loratadine,moderate kidney stress,Medium
399,Furosemide,Budesonide,reduced drug effectiveness,Medium
400,Losartan,Budesonide,increased blood pressure,Medium
401,Naproxen,Insulin,increased blood pressure,Medium
402,Lisinopril,Insulin,temporary fatigue,Low
403,Paracetamol,Losartan,respiratory complications,High
404,Naproxen,Budesonide,severe bleeding risk,High
405,Furosemide,Salbutamol,minor stomach discomfort,Low
406,Naproxen,Insulin,minor stomach discomfort,Low
407,Amlodipine,Ibuprofen,respiratory complications,High
408,Atorvastatin,Salbutamol,heart rhythm complications,High
409,Paracetamol,Sumatriptan,increased blood pressure,Medium
410,Cetirizine,Salbutamol,heart rhythm complications,High
411,Sumatriptan,Loratadine,temporary fatigue,Low
412,Lisinopril,Paracetamol,reduced drug effectiveness,Medium
413,Amlodipine,Clopidogrel,moderate kidney stress,Medium
414,Lisinopril,Salbutamol,mild dizziness,Low
415,Clopidogrel,Furosemide,increased blood pressure,Medium
416,Lisinopril,Metformin,mild dizziness,Low
417,Amlodipine,Naproxen,heart rhythm complications,High
418,Sumatriptan,Budesonide,moderate kidney stress,Medium
419,Metformin,Loratadine,severe bleeding risk,High
420,Naproxen,Ibuprofen,temporary fatigue,Low
421,Metformin,Salbutamol,temporary fatigue,Low
422,Loratadine,Salbutamol,heart rhythm complications,High
423,Losartan,Insulin,minor stomach discomfort,Low
424,Atorvastatin,Budesonide,heart rhythm complications,High
425,Naproxen,Atorvastatin,mild dizziness,Low
426,Cetirizine,Ibuprofen,increased blood pressure,Medium
427,Furosemide,Insulin,temporary fatigue,Low
428,Cetirizine,Metformin,moderate kidney stress,Medium
429,Lisinopril,Naproxen,temporary fatigue,Low
430,Furosemide,Ibuprofen,reduced drug effectiveness,Medium
431,Amlodipine,Ibuprofen,respiratory complications,High
432,Cetirizine,Naproxen,moderate kidney stress,Medium
433,Furosemide,Budesonide,moderate kidney stress,Medium
434,Sumatriptan,Loratadine,heart rhythm complications,High
435,Cetirizine,Losartan,increased blood pressure,Medium
436,Clopidogrel,Atorvastatin,reduced drug effectiveness,Medium
437,Paracetamol,Furosemide,increased blood pressure,Medium
438,Amlodipine,Naproxen,moderate kidney stress,Medium
439,Paracetamol,Salbutamol,minor stomach discomfort,Low
440,Clopidogrel,Insulin,severe bleeding risk,High
441,Amlodipine,Atorvastatin,increased blood pressure,Medium
442,Losartan,Atorvastatin,minor stomach discomfort,Low
443,Insulin,Budesonide,moderate kidney stress,Medium
444,Paracetamol,Losartan,moderate kidney stress,Medium
445,Losartan,Ibuprofen,heart rhythm complications,High
446,Lisinopril,Ibuprofen,reduced drug effectiveness,Medium
447,Metformin,Atorvastatin,reduced drug effectiveness,Medium
448,Naproxen,Clopidogrel,temporary fatigue,Low
449,Naproxen,Ibuprofen,temporary fatigue,Low
450,Furosemide,Loratadine,increased blood pressure,Medium
451,Paracetamol,Sumatriptan,minor stomach discomfort,Low
452,Paracetamol,Furosemide,mild dizziness,Low
453,Paracetamol,Sumatriptan,minor stomach discomfort,Low
454,Losartan,Sumatriptan,mild dizziness,Low
455,Cetirizine,Metformin,severe bleeding risk,High
456,Sumatriptan,Insulin,temporary fatigue,Low
457,Budesonide,Salbutamol,increased blood pressure,Medium
458,Naproxen,Clopidogrel,minor stomach discomfort,Low
459,Metformin,Ibuprofen,moderate kidney stress,Medium
460,Naproxen,Loratadine,heart rhythm complications,High
461,Furosemide,Budesonide,reduced drug effectiveness,Medium
462,Lisinopril,Sumatriptan,minor stomach discomfort,Low
463,Lisinopril,Atorvastatin,reduced drug effectiveness,Medium
464,Clopidogrel,Ibuprofen,minor stomach discomfort,Low
465,Naproxen,Budesonide,minor stomach discomfort,Low
466,Paracetamol,Ibuprofen,reduced drug effectiveness,Medium
467,Clopidogrel,Losartan,moderate kidney stress,Medium
468,Cetirizine,Paracetamol,temporary fatigue,Low
469,Amlodipine,Losartan,severe bleeding risk,High
470,Furosemide,Loratadine,mild dizziness,Low
471,Amlodipine,Lisinopril,respiratory complications,High
472,Amlodipine,Cetirizine,minor stomach discomfort,Low
473,Cetirizine,Budesonide,temporary fatigue,Low
474,Metformin,Budesonide,mild dizziness,Low
475,Lisinopril,Atorvastatin,temporary fatigue,Low
476,Clopidogrel,Ibuprofen,mild dizziness,Low
477,Naproxen,Paracetamol,temporary fatigue,Low
478,Insulin,Salbutamol,minor stomach discomfort,Low
479,Metformin,Ibuprofen,minor stomach discomfort,Low
480,Furosemide,Ibuprofen,severe bleeding risk,High
481,Clopidogrel,Salbutamol,minor stomach discomfort,Low
482,Amlodipine,Clopidogrel,moderate kidney stress,Medium
483,Loratadine,Salbutamol,severe bleeding risk,High
484,Atorvastatin,Ibuprofen,heart rhythm complications,High
485,Amlodipine,Ibuprofen,mild dizziness,Low
486,Paracetamol,Furosemide,increased blood pressure,Medium
487,Clopidogrel,Ibuprofen,mild dizziness,Low
488,Paracetamol,Sumatriptan,heart rhythm complications,High
489,Budesonide,Salbutamol,reduced drug effectiveness,Medium
490,Atorvastatin,Loratadine,increased blood pressure,Medium
491,Furosemide,Atorvastatin,reduced drug effectiveness,Medium
492,Cetirizine,Metformin,mild dizziness,Low
493,Atorvastatin,Salbutamol,reduced drug effectiveness,Medium
494,Amlodipine,Paracetamol,minor stomach discomfort,Low
495,Atorvastatin,Ibuprofen,respiratory complications,High
496,Furosemide,Ibuprofen,moderate kidney stress,Medium
497,Amlodipine,Budesonide,severe bleeding risk,High
498,Furosemide,Losartan,moderate kidney stress,Medium
499,Metformin,Budesonide,moderate kidney stress,Medium
500,Metformin,Furosemide,temporary fatigue,Low
501,Paracetamol,Ibuprofen,minor stomach discomfort,Low
502,Lisinopril,Clopidogrel,increased blood pressure,Medium
503,Cetirizine,Loratadine,heart rhythm complications,High
504,Naproxen,Budesonide,increased blood pressure,Medium
505,Clopidogrel,Budesonide,mild dizziness,Low
506,Cetirizine,Salbutamol,moderate kidney stress,Medium
507,Naproxen,Loratadine,minor stomach discomfort,Low
508,Losartan,Salbutamol,increased blood pressure,Medium
509,Metformin,Losartan,severe bleeding risk,High
510,Amlodipine,Insulin,temporary fatigue,Low
511,Losartan,Insulin,respiratory complications,High
